idurl,url,dia,mes,ano
769,www.infomoney.com.br/mercados/csn-avalia-ipo-da-csn-mineracao-lucro-liquido-da-qualicorp-sobe-215-tecnisa-convoca-assembleia-e-mais-noticias/,26,ago,2020
773,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-quarta-feira-260820/,26,ago,2020
781,www.infomoney.com.br/mercados/cvm-suspende-julgamento-de-caso-sobre-testes-de-impairment-na-petrobras/,25,ago,2020
784,www.infomoney.com.br/mercados/acoes-da-ser-saltam-mais-de-10-e-marisa-sobe-3-apos-resultados-eletrobras-tem-baixa-apos-disparada-em-2-pregoes-e-vale-cai-com-minerio/,25,ago,2020
786,www.infomoney.com.br/mercados/ibovespa-fecha-em-leve-queda-puxado-por-vale-e-preocupacoes-com-o-pacote-economico-do-governo-dolar-cai-a-r-552/,25,ago,2020
807,www.infomoney.com.br/politica/nova-fase-da-lava-jato-investiga-fraudes-em-licitacoes-da-petrobras-e-cumpre-15-mandados-de-busca-e-apreensao/,25,ago,2020
810,www.infomoney.com.br/mercados/ibovespa-sobe-com-exterior-em-meio-a-noticias-de-retomada-no-dialogo-entre-eua-e-china-dolar-cai-a-r-556/,25,ago,2020
815,www.infomoney.com.br/mercados/ibovespa-futuro-tem-leve-alta-em-meio-a-menor-tensao-entre-eua-e-china-dolar-futuro-cai/,25,ago,2020
825,www.infomoney.com.br/mercados/bc-aprova-parceria-entre-bb-e-ubs-prejuizo-da-marisa-sobe-507-rumo-capta-r-64-bi-em-oferta-de-acoes-e-mais-noticias/,25,ago,2020
828,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-terca-feira-250820/,25,ago,2020
832,www.infomoney.com.br/mercados/ibovespa-fecha-em-alta-com-exterior-apesar-de-adiamento-do-programa-pro-brasil-dolar-cai-a-r-559/,24,ago,2020
833,www.infomoney.com.br/mercados/acoes-da-eletrobras-tem-nova-alta-com-rumores-de-avanco-da-privatizacao-petrobras-sobe-com-petroleo-e-irb-cai-5/,24,ago,2020
837,www.infomoney.com.br/mercados/as-empresas-que-se-destacaram-para-o-bem-e-para-o-mal-na-temporada-do-2o-tri-a-mais-impactada-pelo-coronavirus/,24,ago,2020
839,https://www.infomoney.com.br/stock-pickers/para-gestor-da-legacy-bolsa-pode-bater-suas-historicas-ainda-em-2020/,24,ago,2020
845,www.infomoney.com.br/onde-investir/apesar-da-retomada-da-bolsa-gestores-de-acoes-descartam-bolha-no-mercado-brasileiro/,24,ago,2020
849,www.infomoney.com.br/mercados/ibovespa-sobe-em-meio-a-retracao-do-coronavirus-nos-eua-e-com-expectativa-por-pacote-de-guedes-dolar-cai-a-r-558/,24,ago,2020
856,www.infomoney.com.br/mercados/ibovespa-futuro-sobe-com-retracao-do-coronavirus-nos-eua-menor-tensao-geopolitica-e-expectativa-por-pacote-de-guedes/,24,ago,2020
861,www.infomoney.com.br/mercados/azul-tem-rating-rebaixado-para-ccc-petrobras-avanca-com-venda-de-ativos-omega-faz-compra-de-r-6617-mi-e-mais-noticias/,24,ago,2020
864,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-segunda-feira-240820/,24,ago,2020
881,https://www.infomoney.com.br/negocios/presidente-da-transpetro-cristiane-marsillac-renuncia-ao-cargo/,22,ago,2020
886,www.infomoney.com.br/onde-investir/esg-do-despertar-da-relevancia-ao-desenvolvimento-no-mercado-o-que-o-investidor-precisa-saber-hoje/,22,ago,2020
905,www.infomoney.com.br/mercados/senador-aciona-petrobras-e-ministerio-da-energia-por-almoxarifado-submarino-irregular/,21,ago,2020
938,https://www.infomoney.com.br/stock-pickers/bolsas-dolar-ouro-e-juros-a-visao-multimercado-de-marcio-appel/,20,ago,2020
939,www.infomoney.com.br/mercados/mesmo-com-reajustes-de-agosto-gasolina-e-diesel-tem-queda-no-ano-diz-petrobras/,20,ago,2020
943,www.infomoney.com.br/mercados/petrobras-bancos-e-aereas-caem-com-exterior-ruim-e-temor-fiscal-suzano-e-klabin-avancam-com-dolar-e-recomendacoes/,20,ago,2020
