idurl,url,autor,dia,mes,ano
136,www.infomoney.com.br/mercados/indicador-de-risco-de-calote-cds-cai-abaixo-de-200-pontos-e-volta-ao-nivel-do-inicio-da-pandemia/," Bloomberg ",2,set,2020
137,www.infomoney.com.br/-/perspectiva-e-de-crescimento-superior-a-4-do-pib-em-2021-diz-presidente-do-bc/," Estadão Conteúdo ",2,set,2020
138,www.infomoney.com.br/colunistas/alexandre-schwartsman/um-experimento-monetario/," Alexandre Schwartsman ",2,set,2020
139,www.infomoney.com.br/colunistas/o-mundo-sobre-muitas-rodas/o-campeonato-da-industria-automotiva-esta-de-volta/," Raphael Galante ",2,set,2020
140,www.infomoney.com.br/-/australia-pib-recua-7-no-2o-trimestre-e-marca-a-primeira-recessao-em-29-anos/," Estadão Conteúdo ",2,set,2020
141,www.infomoney.com.br/-/adp-eua-criam-428-mil-de-vagas-no-setor-privado-em-agosto-abaixo-do-esperado/," Ricardo Bomfim ",2,set,2020
142,www.infomoney.com.br/-/politica-economica-esta-ligada-a-politica-de-saude-destaca-economista-da-fgv/," Estadão Conteúdo ",2,set,2020
143,www.infomoney.com.br/minhas-financas/12-respostas-rapidas-sobre-o-pix-o-novo-sistema-de-pagamentos-instantaneos-do-bc/," Giovanna Sutto ",2,set,2020
144,www.infomoney.com.br/-/china-e-india-os-unicos-paises-entre-48-que-viram-o-pib-crescer-no-2o-trimestre/," Estadão Conteúdo ",2,set,2020
145,www.infomoney.com.br/politica/camara-aprova-texto-base-de-abertura-do-mercado-de-gas/," Estadão Conteúdo ",2,set,2020
146,www.infomoney.com.br/-/queremos-trocar-o-cruel-pelo-feioso-diz-guedes-sobre-imposto-sobre-transacoes/," Estadão Conteúdo ",1,set,2020
147,www.infomoney.com.br/politica/governo-erra-ao-ignorar-risco-de-rompimento-do-teto-de-gastos-diz-felipe-salto/," Marcos Mortari ",1,set,2020
148,www.infomoney.com.br/-/nova-revisao-de-estrategia-de-politica-deve-ser-feita-daqui-a-5-anos-diz-diretora-do-fed/," Estadão Conteúdo ",1,set,2020
149,www.infomoney.com.br/-/sinto-a-responsabilidade-do-congresso-comigo-diz-guedes/," Estadão Conteúdo ",1,set,2020
150,www.infomoney.com.br/-/pib-do-2o-tri-teve-recessao-historica-mas-o-caminho-a-frente-e-de-subida-dizem-economistas/," Ricardo Bomfim ",1,set,2020
151,www.infomoney.com.br/-/balanca-comercial-tem-superavit-de-us-6609-bilhoes-em-agosto-maior-resultado-para-o-mes-da-serie-historica/," Estadão Conteúdo ",1,set,2020
152,www.infomoney.com.br/-/gastos-com-as-cinco-primeiras-parcelas-do-auxilio-emergencial-devem-somar-r-1846-bilhoes-diz-caixa/," Equipe InfoMoney ",1,set,2020
153,www.infomoney.com.br/politica/um-teto-sem-paredes-acaba-caindo-e-as-paredes-sao-as-reformas-diz-guedes/," Estadão Conteúdo ",1,set,2020
154,www.infomoney.com.br/politica/guedes-estamos-fazendo-tentativa-de-aterrisagem-suave-do-auxilio-emergencial/," Estadão Conteúdo ",1,set,2020
155,www.infomoney.com.br/-/gigantes-do-petroleo-enfrentam-o-desafio-da-adaptacao-a-economia-verde/," Estadão Conteúdo ",1,set,2020
156,www.infomoney.com.br/-/isso-e-de-impacto-la-atras-estamos-decolando-em-v-diz-guedes-sobre-pib/," Estadão Conteúdo ",1,set,2020
157,www.infomoney.com.br/-/pib-do-2o-trimestre-registra-forte-queda-de-97-com-efeito-da-pandemia/," Equipe InfoMoney ",1,set,2020
158,www.infomoney.com.br/-/segunda-rodada-do-pronampe-segue-com-data-indefinida-bradesco-e-santander-aderem-a-nova-fase-mas-itau-fica-de-fora/," Pablo Santana ",1,set,2020
159,www.infomoney.com.br/-/governo-vai-acumular-13-anos-de-deficit-fiscal-afirma-bruno-funchal/," Estadão Conteúdo ",1,set,2020
160,www.infomoney.com.br/-/autorizacao-emergencial-para-vacinas-contra-covid-19-requer-muito-cuidad-diz-oms/," Agência Brasil ",1,set,2020
161,www.infomoney.com.br/-/orcamento-turbina-os-recursos-do-bolsa-familia-para-governo-lancar-renda-brasil/," Estadão Conteúdo ",1,set,2020
162,www.infomoney.com.br/-/camara-poe-em-votacao-novo-marco-para-setor-de-gas/," Estadão Conteúdo ",1,set,2020
163,www.infomoney.com.br/-/governo-desiste-de-adiar-censo-e-preve-r-2-bilhoes-para-pesquisa-em-2021/," Estadão Conteúdo ",1,set,2020
164,www.infomoney.com.br/-/pib-do-2o-tri-tera-forte-queda-em-meio-ao-ponto-mais-agudo-da-pandemia-mas-economistas-tambem-apontam-sinais-de-recuperacao/," Lara Rizério ",1,set,2020
165,www.infomoney.com.br/minhas-financas/nota-de-r-200-sera-lancada-pelo-bc-nesta-quarta-feira-02/," Equipe InfoMoney ",31,ago,2020
166,www.infomoney.com.br/politica/governo-apresenta-projeto-de-lei-orcamentaria-de-2021-com-deficit-fiscal-de-r-2336-bilhoes-acompanhe/," Marcos Mortari ",31,ago,2020
167,www.infomoney.com.br/minhas-financas/tire-suas-duvidas-sobre-o-pix-o-novo-sistema-de-pagamentos-instantaneos-do-banco-central/," Equipe InfoMoney ",31,ago,2020
168,www.infomoney.com.br/mercados/sinalizacao-do-federal-reserve-da-novo-impulso-ao-carry-trade-para-mercados-emergentes/," Bloomberg ",31,ago,2020
169,www.infomoney.com.br/-/setor-publico-tem-deficit-primario-de-r-81071-bilhoes-em-julho-revela-bc/," Estadão Conteúdo ",31,ago,2020
170,www.infomoney.com.br/-/mercado-ve-queda-de-528-do-pib-este-ano-mostra-focus/," Mariana Zonta d'Ávila ",31,ago,2020
171,www.infomoney.com.br/-/com-eleicao-e-juro-baixo-nos-eua-euro-pode-destronar-dolar/," Bloomberg ",31,ago,2020
172,www.infomoney.com.br/-/bitcoin-ouro-e-imoveis-sao-a-saida-para-fugir-da-bolha-do-mercado-financeiro-diz-fundador-da-singularity/," Priscila Yazbek ",30,ago,2020
